ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv3329,-,Probable aminotransferase,22,22,0,0,0,22,0,1,128.5909091,NE
Rv3330,dacB1,Probable penicillin-binding protein DacB1 (D-alanyl-D-alanine carboxypeptidase) (DD-peptidase) (DD-carboxypeptidase) (PBP) (DD-transpeptidase) (serine-type D-ala-D-ala carboxypeptidase) (D-amino acid hydrolase),20,18,2,0,0,20,0,0.95,147.2105263,NE
Rv3331,sugI,Probable sugar-transport integral membrane protein SugI,25,22,3,0,0,25,0,0.92,87.34782609,NE
Rv3332,nagA,Probable N-acetylglucosamine-6-phosphate deacetylase NagA (GlcNAc 6-P deacetylase),6,6,0,0,0,6,0,1,41.66666667,NE
Rv3333c,-,Hypothetical proline rich protein,12,10,2,0,0,12,0,0.916666667,150.1818182,NE
Rv3334,-,Probable transcriptional regulatory protein (probably MerR-family),10,9,1,0,0,10,0,0.9,119,NE
Rv3335c,-,Probable conserved integral membrane protein,12,12,0,0,0,12,0,1,45.16666667,NE
Rv3336c,trpS,Probable tryptophanyl-tRNA synthetase TrpS (tryptophan--tRNA ligase) (TRPRS) (tryptophan translase),16,16,0,14,0,2,0,0.1875,30,ES
Rv3337,-,hypothetical protein,9,7,2,2,0,7,0,0.777777778,187.2857143,NE
Rv3338,-,hypothetical protein,5,4,1,0,0,5,0,0.8,124.75,NE
Rv3339c,icd1,Probable isocitrate dehydrogenase [NADP] Icd1 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP),27,27,0,0,0,27,0,1,128.1481481,NE
Rv3340,metC,Probable O-acetylhomoserine sulfhydrylase MetC (homocysteine synthase) (O-acetylhomoserine (thiol)-lyase) (OAH sulfhydrylase) (O-acetyl-L-homoserine sulfhydrylase),17,16,1,0,0,17,0,0.588235294,26.3,NE
Rv3341,metA,Probable homoserine O-acetyltransferase MetA (homoserine O-trans-acetylase) (homoserine transacetylase) (HTA),15,14,1,15,0,0,0,0,0,ES
Rv3342,-,Possible methyltransferase (methylase),9,9,0,0,0,9,0,0.888888889,68.375,NE
Rv3343c,PPE54,PPE family protein PPE54,157,148,9,0,38,93,26,0.898089172,140.3617021,NE
Rv3344c,PE_PGRS49,PE-PGRS family protein PE_PGRS49,6,3,3,0,0,6,0,0.666666667,42.25,NE
Rv3345c,PE_PGRS50,PE-PGRS family protein PE_PGRS50,48,32,16,0,0,46,2,0.8125,49.07692308,NE
Rv3346c,-,Conserved transmembrane protein,4,3,1,0,0,0,4,1,276.25,GA
Rv3347c,PPE55,PPE family protein PPE55,121,110,11,0,0,19,102,0.991735537,232.3166667,GA
Rv3348,-,Probable transposase,4,3,1,0,0,4,0,1,66,NE
Rv3349c,-,Probable transposase,4,3,1,0,0,4,0,0.75,209.6666667,NE
Rv3350c,PPE56,PPE family protein PPE56,130,115,15,0,6,70,54,0.946153846,213.8373984,NE
Rv3351c,-,hypothetical protein,15,15,0,0,0,0,15,1,293.8666667,GA
Rv3352c,-,Possible oxidoreductase,2,2,0,0,0,0,2,1,68,GA
Rv3353c,-,hypothetical protein,4,4,0,0,0,0,4,1,129.25,GA
Rv3354,-,hypothetical protein,7,6,1,0,0,0,7,1,178.8571429,GA
Rv3355c,-,Probable integral membrane protein,5,4,1,2,0,0,3,0.6,46.66666667,GA
Rv3356c,folD,Probable bifunctional protein FolD: methylenetetrahydrofolate dehydrogenase + methenyltetrahydrofolate cyclohydrolase,9,6,3,9,0,0,0,0.111111111,1,ES
Rv3357,relJ,Antitoxin RelJ,5,5,0,0,0,5,0,1,165.6,NE
Rv3358,relK,Toxin RelK,4,4,0,0,0,4,0,1,160.5,NE
Rv3359,-,Possible oxidoreductase,19,19,0,0,0,19,0,1,175.8421053,NE
Rv3360,-,hypothetical protein,3,3,0,0,0,3,0,1,193.6666667,NE
Rv3361c,-,hypothetical protein,6,5,1,0,0,6,0,0.833333333,46.8,NE
Rv3362c,-,Probable ATP/GTP-binding protein,7,5,2,0,0,7,0,0.857142857,55.5,NE
Rv3363c,-,hypothetical protein,8,7,1,0,0,8,0,0.875,117.7142857,NE
Rv3364c,-,hypothetical protein,5,4,1,0,0,5,0,0.8,108.5,NE
Rv3365c,-,hypothetical protein,33,30,3,0,0,33,0,1,109.5151515,NE
Rv3366,spoU,Probable tRNA/rRNA methylase SpoU (tRNA/rRNA methyltransferase),7,6,1,0,0,7,0,0.857142857,151.3333333,NE
Rv3367,PE_PGRS51,PE-PGRS family protein PE_PGRS51,24,20,4,0,0,24,0,0.916666667,92.13636364,NE
Rv3368c,-,Possible oxidoreductase,9,9,0,0,0,9,0,1,118.3333333,NE
Rv3369,-,hypothetical protein,7,6,1,0,0,7,0,1,94.14285714,NE
Rv3370c,dnaE2,Probable DNA polymerase III (alpha chain) DnaE2 (DNA nucleotidyltransferase),35,32,3,0,0,35,0,0.942857143,57.03030303,NE
Rv3371,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),23,21,2,0,0,23,0,0.826086957,31.15789474,NE
Rv3372,otsB2,Trehalose 6-phosphate phosphatase OtsB2 (trehalose-phosphatase) (TPP),9,9,0,9,0,0,0,0,0,ES
Rv3373,echA18,Probable enoyl-CoA hydratase EchA18 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),3,3,0,0,0,3,0,1,73.33333333,NE
Rv3374,echA18.1,Probable enoyl-CoA hydratase (fragment) EchA18.1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),3,3,0,0,0,3,0,1,69.33333333,NE
Rv3375,amiD,Probable amidase AmiD (acylamidase) (acylase),22,20,2,0,0,22,0,0.909090909,46.95,NE
Rv3376,-,hypothetical protein,9,8,1,0,0,9,0,1,125.1111111,NE
Rv3377c,-,Halimadienyl diphosphate synthase,59,56,3,0,0,59,0,0.847457627,78.82,NE
Rv3378c,-,Diterpene synthase,40,39,1,0,7,33,0,0.7,20.46428571,NE
Rv3379c,dxs2,Probable 1-deoxy-D-xylulose 5-phosphate synthase Dxs2 (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),35,29,6,0,0,35,0,0.971428571,91.97058824,NE
Rv3380c,-,Probable transposase,26,24,2,0,0,26,0,1,172.8846154,NE
Rv3381c,-,Probable transposase for insertion sequence element IS6110 (fragment),5,5,0,0,0,5,0,1,150,NE
Rv3382c,lytB1,Probable LYTB-related protein LytB1,12,10,2,0,0,12,0,1,156.75,NE
Rv3383c,idsB,Possible polyprenyl synthetase IdsB (polyprenyl transferase) (polyprenyl diphosphate synthase),19,18,1,0,0,19,0,0.947368421,118.2222222,NE
Rv3384c,vapC46,Possible toxin VapC46 Contains PIN domain,3,3,0,0,0,3,0,1,165.6666667,NE
Rv3385c,vapB46,Possible antitoxin VapB46,3,3,0,0,0,3,0,1,78,NE
Rv3386,-,Possible transposase,12,10,2,0,0,12,0,0.833333333,118.9,NE
Rv3387,-,Possible transposase,7,7,0,0,0,7,0,1,156.2857143,NE
Rv3388,PE_PGRS52,PE-PGRS family protein PE_PGRS52,20,14,6,0,0,20,0,0.9,128.3333333,NE
Rv3389c,htdY,Probable 3-hydroxyacyl-thioester dehydratase HtdY,10,10,0,0,0,9,1,1,208.8,NE
Rv3390,lpqD,Probable conserved lipoprotein LpqD,12,11,1,0,0,0,12,1,433.5,GA
Rv3391,acrA1,Possible multi-functional enzyme with acyl-CoA-reductase activity AcrA1,36,31,5,0,0,36,0,0.944444444,71.41176471,NE
Rv3392c,cmaA1,Cyclopropane-fatty-acyl-phospholipid synthase 1 CmaA1 (cyclopropane fatty acid synthase) (CFA synthase) (cyclopropane mycolic acid synthase 1),13,12,1,0,0,13,0,0.923076923,41.25,NE
Rv3393,iunH,Probable nucleoside hydrolase IunH (purine nucleosidase),10,10,0,0,0,10,0,1,127.7,NE
Rv3394c,-,hypothetical protein,16,16,0,0,0,16,0,0.9375,59.06666667,NE
Rv3395c,-,hypothetical protein,4,3,1,0,0,4,0,1,52.25,NE
Rv3395A,-,Probable membrane protein,11,11,0,0,0,11,0,1,106,NE
Rv3396c,guaA,Probable GMP synthase [glutamine-hydrolyzing] GuaA (glutamine amidotransferase) (GMP synthetase),17,16,1,16,0,1,0,0.117647059,19.5,ES
Rv3397c,phyA,Probable phytoene synthase PhyA,20,18,2,0,0,20,0,0.8,57.5625,NE
Rv3398c,idsA1,Probable multifunctional geranylgeranyl pyrophosphate synthetase IdsA1 (GGPP synthetase) (ggppsase) (geranylgeranyl diphosphate synthase): dimethylallyltransferase (prenyltransferase) (geranyl-diphosphate synthase) + geranyltranstransferase (farnesyl-diphosphate synthase) (farnesyl-pyrophosphate synthetase) (farnesyl diphosphate synthetase) (FPP synthetase) + farnesyltranstransferase (geranylgeranyl-diphosphate synthase),11,10,1,0,0,11,0,0.909090909,48.2,NE
Rv3399,-,Possible S-adenosylmethionine-dependent methyltransferase,19,19,0,0,0,19,0,0.947368421,64.72222222,NE
Rv3400,-,Probable hydrolase,15,13,2,0,0,15,0,0.933333333,121.2142857,NE
Rv3401,-,hypothetical protein,36,34,2,0,0,36,0,1,118.6111111,NE
Rv3402c,-,hypothetical protein,28,25,3,0,0,2,26,1,214.8571429,GA
Rv3403c,-,Hypothetical protein,26,25,1,0,0,0,26,1,263.8461538,GA
Rv3404c,-,hypothetical protein,11,11,0,0,0,0,11,1,256.4545455,GA
Rv3405c,-,Possible transcriptional regulatory protein,9,6,3,0,0,7,2,0.888888889,115,NE
Rv3406,-,Probable dioxygenase,17,16,1,0,0,9,8,1,145.1764706,NE
Rv3407,vapB47,Possible antitoxin VapB47,3,3,0,0,0,0,3,1,179.3333333,GA
Rv3408,vapC47,Possible toxin VapC47 Contains PIN domain,9,9,0,0,0,0,9,1,401.3333333,GA
Rv3409c,choD,Cholesterol oxidase ChoD (cholesterol-O2 oxidoreductase),22,19,3,0,0,0,22,1,179.6363636,GA
Rv3410c,guaB3,Probable inosine-5'-monophosphate dehydrogenase GuaB3 (imp dehydrogenase) (inosinic acid dehydrogenase) (inosinate dehydrogenase) (imp oxidoreductase) (inosine-5'-monophosphate oxidoreductase) (IMPDH) (IMPD),14,12,2,0,11,2,1,0.785714286,7.272727273,GD
Rv3411c,guaB2,Probable inosine-5'-monophosphate dehydrogenase GuaB2 (imp dehydrogenase) (inosinic acid dehydrogenase) (inosinate dehydrogenase) (imp oxidoreductase) (inosine-5'-monophosphate oxidoreductase) (IMPDH) (IMPD),16,15,1,14,0,2,0,0.125,61,ES
Rv3412,-,hypothetical protein,9,9,0,0,0,9,0,1,107.6666667,NE
Rv3413c,-,Unknown alanine and proline rich protein,7,5,2,0,0,7,0,1,114.8571429,NE
Rv3414c,sigD,Probable alternative RNA polymerase sigma-D factor SigD,10,9,1,0,0,10,0,0.9,81.22222222,NE
Rv3415c,-,hypothetical protein,11,9,2,0,0,11,0,0.909090909,135.1,NE
Rv3416,whiB3,Transcriptional regulatory protein WhiB-like WhiB3 Contains [4FE-4S] cluster,5,5,0,0,0,5,0,1,214,NE
Rv3417c,groEL1,60 kDa chaperonin 1 GroEL1 (protein CPN60-1) (GroEL protein 1),16,12,4,0,0,16,0,0.8125,93.30769231,NE
Rv3418c,groES,10 kDa chaperonin GroES (protein CPN10) (protein GroES) (BCG-a heat shock protein) (10 kDa antigen),5,5,0,5,0,0,0,0,0,ES
Rv3419c,gcp,Probable O-sialoglycoprotein endopeptidase Gcp (glycoprotease),12,11,1,0,0,12,0,1,31,NE
Rv3420c,rimI,Ribosomal-protein-alanine acetyltransferase RimI (acetylating enzyme for N-terminal of ribosomal protein S18),11,11,0,0,0,11,0,1,50.36363636,NE
Rv3421c,-,hypothetical protein,12,11,1,0,0,12,0,0.916666667,21.63636364,NE
Rv3422c,-,hypothetical protein,6,4,2,0,5,1,0,0.666666667,4.5,GD
Rv3423c,alr,Alanine racemase Alr,21,17,4,20,1,0,0,0.047619048,4,ES
Rv3424c,-,Hypothetical protein,10,10,0,0,0,10,0,1,79.7,NE
Rv3425,PPE57,PPE family protein PPE57,23,22,1,0,0,23,0,1,144.4347826,NE
Rv3426,PPE58,PPE family protein PPE58,25,24,1,0,0,25,0,0.96,28.58333333,NE
Rv3427c,-,Possible transposase,12,12,0,0,0,12,0,1,141.5833333,NE
Rv3428c,-,Possible transposase,17,16,1,0,0,17,0,0.882352941,45.86666667,NE
Rv3429,PPE59,PPE family protein PPE59,30,30,0,0,0,30,0,1,85.1,NE
Rv3430c,-,Possible transposase,24,23,1,0,0,24,0,1,152.6666667,NE
Rv3431c,-,Possible transposase (fragment),9,7,2,0,0,9,0,0.888888889,150.875,NE
Rv3432c,gadB,Probable glutamate decarboxylase GadB,23,22,1,0,0,0,23,1,239.2608696,GA
Rv3433c,-,hypothetical protein,10,8,2,0,0,0,10,0.9,132.1111111,GA
Rv3434c,-,Possible conserved transmembrane protein,11,11,0,0,0,0,11,1,198.6363636,GA
Rv3435c,-,Probable conserved transmembrane protein,13,13,0,0,0,9,4,1,303.8461538,NE
Rv3436c,glmS,Probable glucosamine--fructose-6-phosphate aminotransferase [isomerizing] GlmS (hexosephosphate aminotransferase) (D-fructose-6-phosphate amidotransferase) (GFAT) (L-glutamine-D-fructose-6-phosphate amidotransferase) (glucosamine-6-phosphate synthase),31,26,5,30,0,1,0,0.064516129,43.5,ES
Rv3437,-,Possible conserved transmembrane protein,10,8,2,0,0,0,10,1,171.1,GA
Rv3438,-,hypothetical protein,13,12,1,0,0,0,13,1,83.61538462,GA
Rv3439c,-,Conserved hypothetical alanine and proline rich protein,10,9,1,0,0,0,10,1,199.2,GA
Rv3440c,-,Hypothetical protein,8,7,1,0,0,0,8,1,239.875,GA
Rv3441c,mrsA,Probable phospho-sugar mutase / MrsA protein homolog,15,12,3,14,0,0,1,0.066666667,80,ES
Rv3442c,rpsI,30S ribosomal protein S9 RpsI,7,6,1,7,0,0,0,0,0,ES
Rv3443c,rplM,50S ribosomal protein L13 RplM,7,6,1,7,0,0,0,0.142857143,1,ES
Rv3444c,esxT,Putative ESAT-6 like protein EsxT,5,5,0,0,0,5,0,1,215.8,NE
Rv3445c,esxU,ESAT-6 like protein EsxU,4,4,0,0,0,4,0,1,212.5,NE
Rv3446c,-,Hypothetical alanine and valine rich protein,15,14,1,0,0,15,0,1,70.26666667,NE
Rv3447c,eccC4,ESX conserved component EccC4 ESX-4 type VII secretion system protein Probable membrane protein,46,36,10,0,0,46,0,0.804347826,48.72972973,NE
Rv3448,eccD4,ESX conserved component EccD4 ESX-4 type VII secretion system protein Probable integral membrane protein,26,23,3,0,0,26,0,0.961538462,42.12,NE
Rv3449,mycP4,Probable membrane-anchored mycosin MycP4 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-4),21,17,4,0,0,21,0,0.80952381,108.5294118,NE
Rv3450c,eccB4,ESX conserved component EccB4 ESX-4 type VII secretion system protein Probable membrane protein,16,12,4,0,0,16,0,0.8125,139.0769231,NE
Rv3451,cut3,Probable cutinase precursor Cut3,15,14,1,0,0,15,0,1,166,NE
Rv3452,cut4,Probable cutinase precursor Cut4,8,8,0,0,0,8,0,1,154.25,NE
Rv3453,-,Possible conserved transmembrane protein,12,10,2,0,0,12,0,0.833333333,108.4,NE
Rv3454,-,Probable conserved integral membrane protein,28,25,3,0,0,28,0,1,115,NE
Rv3455c,truA,Probable tRNA pseudouridine synthase a TruA (pseudouridylate synthase I) (pseudouridine synthase I) (uracil hydrolyase),10,9,1,0,9,1,0,0.9,3.222222222,GD
Rv3456c,rplQ,50S ribosomal protein L17 RplQ,9,9,0,0,9,0,0,0.111111111,1,GD
Rv3457c,rpoA,Probable DNA-directed RNA polymerase (alpha chain) RpoA (transcriptase alpha chain) (RNA polymerase alpha subunit) (DNA-directed RNA nucleotidyltransferase),14,13,1,10,0,4,0,0.285714286,15.5,ES
Rv3458c,rpsD,30S ribosomal protein S4 RpsD,14,14,0,13,0,1,0,0.071428571,54,ES
Rv3459c,rpsK,30S ribosomal protein S11 RpsK,3,3,0,2,0,1,0,0.333333333,28,Uncertain
Rv3460c,rpsM,30S ribosomal protein S13 RpsM,11,11,0,11,0,0,0,0.090909091,1,ES
Rv3461c,rpmJ,50S ribosomal protein L36 RpmJ,3,3,0,0,2,1,0,0.333333333,114,Uncertain
Rv3462c,infA,Probable translation initiation factor if-1 InfA,6,6,0,0,6,0,0,0.333333333,14,GD
Rv3463,-,hypothetical protein,18,17,1,0,0,18,0,0.944444444,144.7647059,NE
Rv3464,rmlB,"dTDP-glucose 4,6-dehydratase RmlB",23,22,1,23,0,0,0,0,0,ES
Rv3465,rmlC,"dTDP-4-dehydrorhamnose 3,5-epimerase RmlC (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-L-rhamnose synthetase) (thymidine diphospho-4-keto-rhamnose 3,5-epimerase)",9,9,0,8,1,0,0,0.111111111,16,ES
Rv3466,-,hypothetical protein,10,7,3,0,3,7,0,0.8,98.75,NE
Rv3467,-,hypothetical protein,14,14,0,0,0,14,0,1,133.4285714,NE
Rv3468c,-,"Possible dTDP-glucose 4,6-dehydratase",18,15,3,0,0,18,0,0.888888889,91.3125,NE
Rv3469c,mhpE,Probable 4-hydroxy-2-oxovalerate aldolase MhpE (HOA),12,12,0,0,0,12,0,0.916666667,128.4545455,NE
Rv3470c,ilvB2,Probable acetolactate synthase (large subunit) IlvB2 (AHAS) (acetohydroxy-acid synthase large subunit) (ALS),20,16,4,0,0,20,0,0.9,75.44444444,NE
Rv3471c,-,hypothetical protein,6,5,1,0,0,6,0,0.833333333,200.6,NE
Rv3472,-,hypothetical protein,12,12,0,0,0,12,0,1,68.66666667,NE
Rv3473c,bpoA,Possible peroxidase BpoA (non-haem peroxidase),9,8,1,0,0,9,0,1,181.6666667,NE
Rv3474,-,Possible transposase for insertion element IS6110 (fragment),5,5,0,0,0,5,0,1,158.6,NE
Rv3475,-,Possible transposase for insertion element IS6110 [second part],25,23,2,0,0,25,0,0.96,173.5416667,NE
Rv3476c,kgtP,Probable dicarboxylic acid transport integral membrane protein KgtP (dicarboxylate transporter),39,39,0,0,0,39,0,1,148.7948718,NE
Rv3477,PE31,PE family protein PE31,6,6,0,0,0,6,0,1,117.1666667,NE
Rv3478,PPE60,PE family protein PPE60,19,16,3,0,0,19,0,0.894736842,129.6470588,NE
Rv3479,-,Possible transmembrane protein,39,35,4,0,0,39,0,0.923076923,94.58333333,NE
Rv3480c,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),30,27,3,0,0,30,0,0.966666667,88.37931034,NE
Rv3481c,-,Probable integral membrane protein,10,10,0,0,0,10,0,1,86.8,NE
Rv3482c,-,Probable conserved membrane protein,11,10,1,0,0,11,0,1,225.1818182,NE
Rv3483c,-,Possible exported protein,11,10,1,0,0,11,0,0.909090909,195.8,NE
Rv3484,cpsA,Possible conserved protein CpsA,28,25,3,0,0,0,28,1,155.0714286,GA
Rv3485c,-,Probable short-chain type dehydrogenase/reductase,11,11,0,0,0,0,11,1,205.7272727,GA
Rv3486,-,hypothetical protein,6,6,0,0,0,0,6,1,416.3333333,GA
Rv3487c,lipF,Probable esterase/lipase LipF,15,14,1,0,0,0,15,1,357.1333333,GA
Rv3488,-,hypothetical protein,5,3,2,0,0,5,0,0.8,88.75,NE
Rv3489,-,hypothetical protein,4,4,0,0,4,0,0,1,7.75,GD
Rv3490,otsA,"Alpha, alpha-trehalose-phosphate synthase [UDP-forming] OtsA (trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase) (trehalosephosphate-UDP glucosyltransferase) (trehalose-6-phosphate synthetase) (trehalose-phosphate synthase) (trehalose-phosphate synthetase) (transglucosylase) (trehalosephosphate-UDP glucosyl transferase)",31,28,3,0,30,1,0,0.774193548,2.791666667,GD
Rv3491,-,hypothetical protein,12,11,1,0,0,12,0,1,131.1666667,NE
Rv3492c,-,Conserved hypothetical Mce associated protein,11,11,0,0,0,11,0,1,82.72727273,NE
Rv3493c,-,Conserved hypothetical Mce associated alanine and valine rich protein,13,12,1,0,0,13,0,0.846153846,61.36363636,NE
Rv3494c,mce4F,Mce-family protein Mce4F,26,24,2,0,0,26,0,0.923076923,170.4583333,NE
Rv3495c,lprN,Possible Mce-family lipoprotein LprN (Mce-family lipoprotein Mce4E),14,13,1,0,0,14,0,1,223.9285714,NE
Rv3496c,mce4D,Mce-family protein Mce4D,26,21,5,0,0,26,0,0.961538462,128.04,NE
Rv3497c,mce4C,Mce-family protein Mce4C,18,17,1,0,0,18,0,1,135.5555556,NE
Rv3498c,mce4B,Mce-family protein Mce4B,13,12,1,0,0,13,0,0.923076923,176.5833333,NE
Rv3499c,mce4A,Mce-family protein Mce4A,31,28,3,0,0,31,0,0.967741935,141.8666667,NE
Rv3500c,yrbE4B,Conserved integral membrane protein YrbE4B Possible ABC transporter,23,20,3,0,0,5,18,0.956521739,285.8636364,GA
Rv3501c,yrbE4A,Conserved integral membrane protein YrbE4A Possible ABC transporter,11,11,0,0,0,7,4,1,215.3636364,NE
Rv3502c,-,Probable short-chain type dehydrogenase/reductase Possible 17-beta-hydroxysteroid dehydrogenase,11,9,2,0,0,11,0,0.909090909,133.5,NE
Rv3503c,fdxD,Probable ferredoxin FdxD,3,3,0,0,0,3,0,1,369.3333333,NE
Rv3504,fadE26,Probable acyl-CoA dehydrogenase FadE26,20,17,3,0,0,20,0,0.95,207.6315789,NE
Rv3505,fadE27,Probable acyl-CoA dehydrogenase FadE27,13,12,1,0,0,13,0,0.923076923,70.08333333,NE
Rv3506,fadD17,Fatty-acid-CoA synthetase FadD17 (fatty-acid-CoA synthase) (fatty-acid-CoA ligase),26,21,5,0,0,26,0,0.884615385,155.0869565,NE
Rv3507,PE_PGRS53,PE-PGRS family protein PE_PGRS53,41,21,20,0,0,41,0,0.780487805,48.1875,NE
Rv3508,PE_PGRS54,PE-PGRS family protein PE_PGRS54,38,21,17,0,0,38,0,0.894736842,62.44117647,NE
Rv3509c,ilvX,Probable acetohydroxyacid synthase IlvX (acetolactate synthase),23,20,3,0,0,23,0,1,170,NE
Rv3510c,-,hypothetical protein,16,15,1,0,0,16,0,1,171.8125,NE
Rv3511,PE_PGRS55,PE-PGRS family protein PE_PGRS55,24,21,3,0,0,24,0,0.958333333,126.6956522,NE
Rv3512,PE_PGRS56,PE-PGRS family protein PE_PGRS56,28,15,13,0,0,28,0,0.821428571,25.08695652,NE
Rv3513c,fadD18,Probable fatty-acid-CoA ligase FadD18 (fragment) (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),16,16,0,0,0,5,11,1,307.625,GA
Rv3514,PE_PGRS57,PE-PGRS family protein PE_PGRS57,33,22,11,0,0,26,7,0.727272727,73.29166667,NE
Rv3515c,fadD19,Fatty-acid-CoA ligase FadD19 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),30,29,1,0,0,30,0,0.966666667,121.2758621,NE
Rv3516,echA19,Possible enoyl-CoA hydratase EchA19 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),8,7,1,0,0,8,0,0.875,161.1428571,NE
Rv3517,-,hypothetical protein,15,12,3,0,0,15,0,0.933333333,111.8571429,NE
Rv3518c,cyp142,Probable cytochrome P450 monooxygenase 142 Cyp142,13,9,4,0,0,13,0,0.615384615,126.125,NE
Rv3519,-,hypothetical protein,11,11,0,0,0,11,0,1,116.8181818,NE
Rv3520c,-,Possible coenzyme F420-dependent oxidoreductase,16,16,0,0,0,16,0,1,192.625,NE
Rv3521,-,hypothetical protein,16,14,2,0,0,16,0,1,214.6875,NE
Rv3522,ltp4,Possible lipid transfer protein or keto acyl-CoA thiolase Ltp4,19,18,1,0,0,19,0,1,88.36842105,NE
Rv3523,ltp3,Probable lipid carrier protein or keto acyl-CoA thiolase Ltp3,19,19,0,0,0,19,0,0.947368421,105.6111111,NE
Rv3524,-,Probable conserved membrane protein,21,19,2,0,0,8,13,1,205.3809524,GA
Rv3525c,-,Possible siderophore-binding protein,9,8,1,0,0,0,9,1,129.7777778,GA
Rv3526,kshA,Oxygenase component of 3-ketosteroid-9-alpha-hydroxylase KshA,22,22,0,0,0,22,0,1,84.13636364,NE
Rv3527,-,Hypothetical protein,7,6,1,0,0,7,0,1,61,NE
Rv3528c,-,hypothetical protein,37,37,0,0,12,25,0,0.783783784,28.93103448,NE
Rv3529c,-,hypothetical protein,26,26,0,0,0,26,0,0.961538462,42.68,NE
Rv3530c,-,Possible oxidoreductase,18,18,0,0,0,18,0,0.833333333,64.66666667,NE
Rv3531c,-,Hypothetical protein,24,23,1,0,0,24,0,0.875,110.5714286,NE
Rv3532,PPE61,PPE family protein PPE61,21,20,1,0,0,21,0,1,211.2857143,NE
Rv3533c,PPE62,PPE family protein PPE62,20,17,3,0,0,20,0,1,104.95,NE
Rv3534c,hsaF,Probable 4-hydroxy-2-oxovalerate aldolase (HOA),10,8,2,0,0,10,0,0.9,168.8888889,NE
Rv3535c,hsaG,Probable acetaldehyde dehydrogenase (acetaldehyde dehydrogenase [acetylating]),12,11,1,0,0,12,0,0.916666667,155.5454545,NE
Rv3536c,hsaE,Probable hydratase,9,8,1,0,0,9,0,1,110.4444444,NE
Rv3537,kstD,Probable dehydrogenase,37,32,5,0,0,37,0,0.810810811,29.73333333,NE
Rv3538,-,Probable dehydrogenase Possible 2-enoyl acyl-CoA hydratase,14,13,1,0,0,14,0,0.928571429,30.30769231,NE
Rv3539,PPE63,PPE family protein PPE63,31,28,3,0,0,31,0,0.935483871,52.06896552,NE
Rv3540c,ltp2,Probable lipid transfer protein or keto acyl-CoA thiolase Ltp2,19,17,2,0,0,19,0,0.842105263,36.0625,NE
Rv3541c,-,hypothetical protein,8,8,0,0,0,8,0,0.625,18.8,NE
Rv3542c,-,hypothetical protein,14,14,0,0,0,14,0,1,60.5,NE
Rv3543c,fadE29,Probable acyl-CoA dehydrogenase FadE29,17,17,0,0,0,17,0,1,25.88235294,NE
Rv3544c,fadE28,Probable acyl-CoA dehydrogenase FadE28,16,16,0,0,0,16,0,0.9375,71.46666667,NE
Rv3545c,cyp125,Probable cytochrome P450 125 Cyp125,25,23,2,0,0,25,0,0.96,165.9166667,NE
Rv3546,fadA5,Probable acetyl-CoA acetyltransferase FadA5 (acetoacetyl-CoA thiolase),6,4,2,0,0,6,0,1,76.83333333,NE
Rv3547,ddn,Deazaflavin-dependent nitroreductase Ddn,12,12,0,0,0,12,0,1,165.1666667,NE
Rv3548c,-,Probable short-chain type dehydrogenase/reductase,9,8,1,0,0,9,0,1,206.1111111,NE
Rv3549c,-,Probable short-chain type dehydrogenase/reductase,11,11,0,0,0,11,0,1,42.18181818,NE
Rv3550,echA20,Probable enoyl-CoA hydratase EchA20 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),6,6,0,0,0,6,0,1,42.33333333,NE
Rv3551,-,Possible CoA-transferase (alpha subunit),16,16,0,0,0,16,0,0.9375,38.86666667,NE
Rv3552,-,Possible CoA-transferase (beta subunit),10,9,1,0,0,10,0,0.9,25.22222222,NE
Rv3553,-,Possible oxidoreductase,9,8,1,0,0,9,0,1,56.88888889,NE
Rv3554,fdxB,Possible electron transfer protein FdxB,31,29,2,0,0,31,0,1,109.6774194,NE
Rv3555c,-,hypothetical protein,12,10,2,0,0,12,0,0.916666667,39.90909091,NE
Rv3556c,fadA6,Probable acetyl-CoA acetyltransferase FadA6 (acetoacetyl-CoA thiolase),17,15,2,0,0,17,0,0.882352941,57.8,NE
Rv3557c,-,Transcriptional regulatory protein (probably TetR-family),16,14,2,0,0,16,0,0.9375,86.33333333,NE
