#Command: python3 Fitness_Esimation.py demodata/out/H37Rv_expected_counts.csv demodata/H37Rv/H37RvBD1.prot_table demodata/out/H37Rv_gumbel_gene_predictions.csv
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,M0 Fitness Estimation,M1 Fitness Estimation,Mean Actual Count,TTN-Fitness Assesment
Rv3626c,-,hypothetical protein Rv3626c ,12,12,True,0.28285795265857855,0.27654525235936567,0.14164993320975652,0.4086387077665222,,,97.40000000000002,NE
Rv3627c,-,hypothetical protein Rv3627c ,14,8,True,-1.452418127179504,2.54338766482699e-13,-1.2351650685780435,1.0344023243128534e-19,-0.24850246991254726,0.010410920280702158,1.15,GD
Rv3628,ppa,inorganic pyrophosphatase ,10,1,False,,,,,,,9.83,ES
Rv3629c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,17,17,True,0.6424860059997384,0.0010593521370302092,0.617786711527482,1.5650195785283674e-06,-0.18678114225655634,0.03788831930200976,219.00588235294117,GA
Rv3630,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,25,25,True,0.20490211148297327,0.2541935324769027,0.41446364070105995,0.00012524171806327315,-0.20687931674799998,-0.035217683881294315,83.236,GA
Rv3631,-,POSSIBLE TRANSFERASE (POSSIBLY GLYCOSYLTRANSFERASE) ,6,5,True,0.06317349859519433,0.8811212672139405,0.11993325244697828,0.638131982626236,-0.4728242745240583,-0.2871871407409287,110.38333333333334,NE
Rv3632,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,8,8,True,0.7425478158328713,0.011823470741705993,0.35221417956471285,0.07838163906878655,-0.1782777736082101,0.05043756217013017,270.6,NE
Rv3633,-,hypothetical protein Rv3633 ,18,18,True,0.13972034289988908,0.5273203620251616,0.27881718819793244,0.034999239889385504,-0.3409400689025468,-0.04726443190759168,97.38888888888889,GA
Rv3634c,galE1,UDP-GLUCOSE 4-EPIMERASE GALE1 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE) ,20,1,True,-1.7986887909860976,1.4366776724698335e-28,-1.7369930488830538,1.8898409957956876e-54,,,0.025,GD
Rv3635,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,26,11,False,,,,,,,1.2653846153846156,ES
Rv3636,-,POSSIBLE TRANSPOSASE ,6,6,True,0.35472262493905715,0.33830553809537406,0.06981690273378016,0.7884295017357523,-0.2067304541623474,0.1887265781596351,117.81666666666666,NE
Rv3637,-,POSSIBLE TRANSPOSASE ,5,4,True,-0.07706135874640686,0.8667068453857045,-0.030953013253621237,0.9172352853616093,-0.582094294974564,-0.2506753117413016,102.25999999999999,NE
Rv3638,-,transposase ,13,13,True,0.23380608349144683,0.3532398490651849,0.26674713453886756,0.08999198109921197,-0.2803611296398402,-0.03855377852785204,105.43076923076924,NE
Rv3639c,-,hypothetical protein Rv3639c ,9,9,True,-0.1791183808463431,0.5687678520706404,0.037404973668115876,0.8641056189028608,-0.7024061606535383,-0.2946125935157362,106.12222222222222,NE
Rv3640c,-,PROBABLE TRANSPOSASE ,18,18,True,0.18729980434570953,0.3850858593436873,0.1730850733474616,0.20231302179433971,-0.20389114372821543,-0.03660097134303008,79.34999999999998,NE
Rv3641c,fic,POSSIBLE CELL FILAMENTATION PROTEIN FIC ,10,10,True,0.455924225300713,0.0999017775908807,0.20672965998708398,0.26094269635129375,-0.3265376707539097,-0.14687806377684456,196.26000000000002,NE
Rv3642c,-,hypothetical protein Rv3642c ,3,3,True,0.18850975178481785,0.7393882425395675,0.47066374156800206,0.15280824404189006,-0.23202978041889694,-0.15540848140373553,84.9,NE
Rv3643,-,hypothetical protein Rv3643 ,8,8,True,0.1239310823281224,0.718327043384467,0.07993990705641414,0.7234437878657766,-0.2484281077224874,-0.015772334357829064,75.8625,NE
Rv3644c,-,DNA polymerase III subunit delta' ,17,2,False,,,,,,,0.24117647058823527,ES
Rv3645,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,25,7,True,-1.657490457687419,2.739881260518464e-30,-1.5370883109931048,2.285788133526848e-53,-1.0997371473172017,-0.5809344927380138,2.7239999999999998,GD
Rv3646c,topA,DNA topoisomerase I ,53,8,False,,,,,,,1.2169811320754718,ES
Rv3647c,-,hypothetical protein Rv3647c ,10,8,True,-0.24638353756804768,0.3957911324712926,0.1099115132488898,0.5710437462858278,-0.6252078677247418,-0.2518668474984787,75.78999999999999,NE
Rv3648c,cspA,PROBABLE COLD SHOCK PROTEIN A CSPA ,4,1,True,-1.7772082818497619,4.634273246522815e-06,-1.909537002968788,1.0342718384068856e-13,-0.056716717641077656,0.9280664870570802,0.05,GD
Rv3649,-,PROBABLE HELICASE ,33,27,True,-0.34905873580589347,0.016840789966322017,-0.3611614448005413,0.00012533873046611044,-0.4763202634163738,-0.19035639375432692,42.15151515151515,GD
Rv3650,PE33,PE FAMILY PROTEIN ,4,4,True,-0.44862354765337137,0.3210776512646638,-0.14451002170324634,0.6437886871763396,-0.3343705108130125,-0.17335519457906304,23.950000000000003,NE
Rv3651,-,hypothetical protein Rv3651 ,14,13,True,-0.24885522783185732,0.3015838430486511,-0.3411231524647187,0.022492518166001178,-0.3248070092318617,-0.14138229805184646,37.728571428571435,GD
Rv3652,PE_PGRS60,PE-PGRS FAMILY-RELATED PROTEIN ,6,5,True,0.050390287490071135,0.9037995642100864,-0.07775226899494891,0.7633175050146682,-0.7701353087821217,-0.380500254776128,212.44999999999996,NE
Rv3653,PE_PGRS61,PE-PGRS FAMILY-RELATED PROTEIN ,6,6,True,-0.1128219293562238,0.7792376167463565,0.2176383284076434,0.3663857648793285,-0.0729875416392948,0.0555351864446028,29.116666666666664,NE
Rv3654c,-,hypothetical protein Rv3654c ,1,0,True,-1.8137402907692992,0.03218447767940911,-0.7491947436423576,0.19205220050592703,inf,inf,0.0,NE
Rv3655c,-,hypothetical protein Rv3655c ,7,7,True,-0.27809509007730143,0.4253964976583744,-0.5925735424592623,0.0044220376195726885,-0.6548543014926657,-0.40115815117411047,75.27142857142857,GD
Rv3656c,-,hypothetical protein Rv3656c ,5,5,True,0.12937474283290623,0.7697015523614755,0.05945620557567837,0.8375813075301689,-0.19000481410598474,-0.1388421825185515,67.16,NE
Rv3657c,-,POSSIBLE CONSERVED ALANINE RICH MEMBRANE PROTEIN ,8,8,True,-0.1459537425501735,0.6663682520037489,0.034970225174606705,0.8814752142559715,-0.12286433820491999,0.0865469615783352,30.212500000000002,NE
Rv3658c,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,10,9,True,-0.4891025613069134,0.07399477915586015,-0.24113111709032958,0.1837104697572271,-0.6236986814811686,-0.3698851985749798,42.290000000000006,NE
Rv3659c,-,hypothetical protein Rv3659c ,6,6,True,0.22466362517261582,0.5584814444769822,0.4589787548236426,0.04548767523580666,-0.29661195765744947,-0.15890722669391963,107.14999999999999,GA
Rv3660c,-,hypothetical protein Rv3660c ,9,8,True,-0.05022718533002439,0.8831553358291708,0.37751801439667587,0.04391539306554915,-0.35968602647683784,-0.22476616916004452,65.25555555555556,GA
Rv3661,-,hypothetical protein Rv3661 ,17,17,True,0.40256599513574587,0.0526781619753923,0.3705259995846986,0.005552193772716996,-0.15666900868834532,0.011384248810503353,117.3,GA
Rv3662c,-,hypothetical protein Rv3662c ,4,4,True,-0.9721917252713685,0.021005751986604388,-0.8740104339168956,0.0013733303589215794,-0.152849342838666,-0.06144983385735164,4.225,GD
Rv3663c,dppD,PROBABLE DIPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER DPPD ,25,23,True,-0.4126457961232236,0.013461752952214169,-0.36995475080863344,0.00068311412650885,-0.43997756050115655,-0.14086119260613014,33.300000000000004,GD
Rv3664c,dppC,PROBABLE DIPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DPPC ,14,13,True,-0.6007019627419744,0.006619840918998835,-0.7149632628917333,4.043087070421146e-07,-0.3997018520563511,-0.16149022638664384,19.24285714285714,GD
Rv3665c,dppB,PROBABLE DIPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DPPB ,17,14,True,-0.32007376467800436,0.1345053134027801,-0.5313716023864183,4.6593009061861524e-05,-0.37369430186250724,-0.21542114344302457,35.65882352941177,GD
Rv3666c,dppA,PROBABLE PERIPLASMIC DIPEPTIDE-BINDING LIPOPROTEIN DPPA ,23,20,True,-0.6714526002092129,4.2828503144108466e-05,-0.6217297790116225,1.24390397949759e-08,-0.4419619389614357,-0.2777498512028044,17.81304347826087,GD
Rv3667,acs,acetyl-CoA synthetase ,40,38,True,0.23930984099216918,0.08184553990048121,0.13137892551933741,0.14567079732869578,-0.3239433163924652,-0.1342488514452517,118.05999999999999,NE
Rv3668c,-,POSSIBLE PROTEASE ,9,8,True,0.06546237312193662,0.8460133336328772,0.28505335680133714,0.13373793692126523,-0.4811917633875673,-0.13823228380818783,113.13333333333333,NE
Rv3669,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,5,2,True,-0.8440137564480028,0.025537673674745714,-1.0612505514870834,8.72884150218292e-06,-1.146971575098973,-1.0592387491677988,58.4,GD
Rv3670,ephE,POSSIBLE EPOXIDE HYDROLASE EPHE (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) ,16,14,True,-0.6526388630113602,0.001277810328731262,-0.4852738241981597,0.0003479611695535378,-0.5040517980019467,-0.24087021598727687,21.53125,GD
Rv3671c,-,POSSIBLE MEMBRANE-ASSOCIATED SERINE PROTEASE ,15,14,True,-0.38650168406838514,0.08581634738054958,-0.27134714132814836,0.0625302804777803,-0.3113964790059521,-0.015935128069741747,26.36666666666667,NE
Rv3672c,-,hypothetical protein Rv3672c ,10,10,True,0.009777496540321378,0.9780326157710636,0.27889422651511886,0.12159310084879993,-0.3009857735624334,-0.07084525494188075,65.6,NE
Rv3673c,-,POSSIBLE MEMBRANE-ANCHORED THIOREDOXIN-LIKE PROTEIN (THIOL-DISULFIDE INTERCHANGE RELATED PROTEIN) ,7,3,True,-1.6792670585749265,4.155740796373135e-09,-1.4210646577396726,2.46633585695481e-13,,,0.24285714285714285,GD
Rv3674c,nth,PROBABLE ENDONUCLEASE III NTH (DNA-(APURINIC OR APYRIMIDINIC SITE)LYASE) (AP LYASE) (AP ENDONUCLEASE CLASS I) (ENDODEOXYRIBONUCLEASE (APURINIC OR APYRIMIDINIC)) (DEOXYRIBONUCLEASE (APURINIC OR APYRIMIDINIC)) ,12,11,True,0.08013217199860388,0.7783761681163746,0.12498029776701147,0.472444204579923,-0.478224717312129,-0.19917656092368125,116.27499999999998,NE
Rv3675,-,POSSIBLE MEMBRANE PROTEIN ,7,7,True,0.7408075720733583,0.019934051235162724,0.5938712796865688,0.0043889514345494506,-0.13754435813384963,0.013686538611268019,245.38571428571427,GA
Rv3676,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY CRP/FNR-FAMILY) ,3,3,True,-0.568152867039578,0.27453555750368125,-0.8368688926050611,0.008790349367066774,-0.8300634811948171,-0.6402194883591895,56.13333333333333,GD
Rv3677c,-,POSSIBLE HYDROLASE ,12,11,True,-0.04234138291167283,0.886639133338692,0.11569901900158992,0.5073026498822992,-0.4362275837134658,-0.22382833104409158,79.28333333333333,NE
Rv3678c,-,hypothetical protein Rv3678c ,9,9,True,0.0764821375034201,0.8195056900697832,0.36108903114127294,0.054352499276253005,-0.41821758486983784,-0.08881215565666219,100.41111111111111,NE
Rv3678A,-,hypothetical protein Rv3678A ,3,3,True,0.7093458693917029,0.16634592460479272,0.36793537814267285,0.2745057320322581,-0.04493045697328777,-0.025523048498529852,184.36666666666667,NE
Rv3679,-,PROBABLE ANION TRANSPORTER ATPASE ,15,14,True,-0.4063778711262856,0.06815292200763161,-0.3486340052894916,0.015310927047208578,-0.3833744795772625,-0.14201020588401694,29.673333333333332,GD
Rv3680,-,PROBABLE ANION TRANSPORTER ATPASE ,20,19,True,-0.5497314629648368,0.0026782112610769897,-0.5147928928541687,1.727641673810573e-05,-0.4003900180973813,-0.12463151068575856,21.83,GD
Rv3681c,whiB4,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB4 ,8,8,True,0.29725435426930785,0.35448901476437533,0.4478681533701211,0.023323483337885625,-0.2870086978182211,-0.07082429065983939,124.04999999999998,GA
Rv3682,ponA2,PROBABLE BIFUNCTIONAL MEMBRANE-ASSOCIATED PENICILLIN-BINDING PROTEIN 1A/1B PONA2 ,38,38,True,0.8277955363066581,8.321228998199516e-12,0.7448346289929269,1.7367492462976374e-19,-0.18368533480535168,0.039748166962519746,333.57894736842104,GA
Rv3683,-,hypothetical protein Rv3683 ,11,11,True,0.36547511833945556,0.17245084356751028,0.3179864528289414,0.061391101890582334,-0.19951512613172154,0.04352623857035925,118.8,NE
Rv3684,-,PROBABLE LYASE ,18,17,True,-0.056385949742291726,0.8124074941998379,0.007250218511749896,0.9651957367572724,-0.48366891998720507,-0.2153910870718072,85.57222222222222,NE
Rv3685c,cyp137,PROBABLE CYTOCHROME P450 137 CYP137 ,20,19,True,0.27283041401763714,0.16993132464665506,0.25238044912598323,0.04467042817130765,-0.42084714986818933,-0.057465808952815944,159.51999999999995,GA
Rv3686c,-,hypothetical protein Rv3686c ,7,6,True,0.26142038043971416,0.4565022438544974,0.21846088020994822,0.32494122848478174,-0.5994686917357132,-0.2605285684493062,234.38571428571427,NE
Rv3687c,rsfB,ANTI-ANTI-SIGMA FACTOR RSFB (ANTI-SIGMA FACTOR ANTAGONIST) (REGULATOR OF SIGMA F B) ,6,5,True,-0.5888134622496637,0.09975553321946398,-0.13205596342440007,0.6010218851364357,-0.4638775463394245,-0.20228651929038816,22.96666666666667,NE
Rv3688c,-,hypothetical protein Rv3688c ,8,8,True,0.7339367612551767,0.012871750916604238,0.44534033665656353,0.024409930556815215,-0.27909497493772384,-0.190332248999139,334.5875,GA
Rv3689,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,32,True,0.25393402751785593,0.09006565257952212,0.295387335146428,0.0016505724932559045,-0.47890535305751103,-0.22037451143630465,174.50882352941176,GA
Rv3690,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.04114197998913461,0.8933518337864783,0.03185640977852025,0.8728868912869329,-0.05834456976703787,0.08593044425473206,40.372727272727275,NE
Rv3691,-,hypothetical protein Rv3691 ,15,15,True,0.19390572580032167,0.414152970419732,0.026861807385972703,0.8748634161796016,-0.08390294831695544,0.014490588387841974,61.12666666666667,NE
Rv3692,moxR2,PROBABLE METHANOL DEHYDROGENASE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR2 ,16,16,True,0.11126391785938215,0.6405249196222386,0.007518001424058348,0.9660718580144799,-0.3528709310328895,-0.22582829342733404,93.68124999999999,NE
Rv3693,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,17,14,True,-0.43086419861322095,0.03643243872703378,-0.2744687049992598,0.044313345478156685,-0.4758931526269753,-0.20006761940322912,34.6235294117647,GD
Rv3694c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,15,13,True,0.16493130688872684,0.4934372652306605,0.022120891953800646,0.8976711159412526,-0.4175547836140977,-0.16410110440168577,123.2,NE
Rv3695,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,12,12,True,0.10095675929740598,0.7190501008784194,0.20473550950040403,0.22009209319205064,-0.5407929899037768,-0.28658229644723215,140.975,NE
Rv3696c,glpK,glycerol kinase ,30,29,True,-0.432633264586008,0.003977458530161457,-0.5866150187134372,6.69346123628747e-10,-0.30918885403096996,-0.1505793807429587,23.486666666666668,GD
Rv3697c,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,9,9,True,0.6351242446868546,0.02404736383381375,0.4369673973572385,0.019244065911639675,-0.25656659947483235,0.04290637549820994,252.84444444444443,GA
Rv3698,-,hypothetical protein Rv3698 ,36,35,True,0.06057299105532121,0.7076164014961625,0.003630846707786749,0.9762048320667495,-0.32983210069739205,-0.09472595843920889,78.9361111111111,NE
Rv3699,-,hypothetical protein Rv3699 ,13,13,True,0.3968522337455639,0.1027480090274734,0.21411788157963366,0.17840572242787558,-0.167401745796766,-0.014657081645119897,118.65384615384616,NE
Rv3700c,-,hypothetical protein Rv3700c ,14,14,True,-0.08544185658213402,0.7440678959324197,-0.15096515804685767,0.33674675645026386,-0.3164119312051105,-0.11527902052069565,54.38571428571428,NE
Rv3701c,-,hypothetical protein Rv3701c ,15,13,True,-0.7943790670570827,0.00010369392370577292,-0.603926662443941,1.2323935140262913e-05,-0.47924378492304864,-0.20847154827759556,14.253333333333334,GD
Rv3702c,-,hypothetical protein Rv3702c ,8,8,True,-0.3425612298852299,0.28153107913538467,-0.4072380599259085,0.040171882253254805,-0.5492528082474972,-0.39710216393009495,50.6375,GD
Rv3703c,-,hypothetical protein Rv3703c ,18,18,True,0.2620839952296837,0.213502874870659,0.2959693151164358,0.024503521262442436,-0.24641174273923153,-0.0034182181512669332,104.1222222222222,GA
Rv3704c,gshA,GLUTAMATE--CYSTEINE LIGASE GSHA (GAMMA-GLUTAMYLCYSTEINE SYNTHETASE) (GAMMA-ECS) (GCS) (GAMMA-GLUTAMYL-L-CYSTEINE SYNTHETASE) ,13,13,True,0.1484827184006855,0.5703728983055798,0.1781583867585215,0.270859490813288,-0.5032535026469453,-0.18898894379225828,144.43846153846155,NE
Rv3705c,-,hypothetical protein Rv3705c ,9,9,True,0.5067431726115239,0.08006065254541472,0.49146793308802456,0.007532716885519404,-0.13545958499175537,0.06535713190182907,142.17777777777778,GA
Rv3705A,-,CONSERVED HYPOTHETICAL PROLINE RICH PROTEIN ,5,5,True,0.321809441717102,0.43640912402854987,0.5446657647868047,0.029829200457121997,-0.35889015045407713,-0.15787783428077015,154.96,GA
Rv3706c,-,CONSERVED HYPOTHETICAL PROLINE RICH PROTEIN ,4,4,True,-0.050839029791718206,0.9223705142206675,0.21681769738165876,0.4715358517783302,-0.7542668281515766,-0.5129094258590898,161.65,NE
Rv3707c,-,hypothetical protein Rv3707c ,16,15,True,0.4971930780821466,0.01784788885404743,0.5114197848270786,0.0001558270780354472,-0.26072918861209843,-0.029182591824772636,185.56875000000002,GA
Rv3708c,asd,aspartate-semialdehyde dehydrogenase ,10,1,False,,,,,,,0.01,ES
Rv3709c,ask,aspartate kinase ,15,6,False,,,,,,,0.84,ES
Rv3710,leuA,2-isopropylmalate synthase ,30,4,False,,,,,,,5.543333333333334,ES
Rv3711c,dnaQ,DNA polymerase III subunit epsilon ,15,14,True,0.2736318096081963,0.2373211638369101,0.3131852324190882,0.03043180607891184,-0.29606732962377696,-0.20076613140485225,119.90666666666667,GA
Rv3712,-,POSSIBLE LIGASE ,11,0,False,,,,,,,0.0,ESB
Rv3713,cobQ2,POSSIBLE COBYRIC ACID SYNTHASE COBQ2 ,11,3,False,,,,,,,17.83636363636364,ES
Rv3714c,-,hypothetical protein Rv3714c ,13,13,True,0.6115513162970685,0.007893827820504176,0.38931347066944916,0.01133821644673224,-0.3063666608921312,-0.08245472094004548,268.53076923076924,GA
Rv3715c,recR,recombination protein RecR ,4,4,True,0.19678904231054584,0.6836394775051013,0.24299263434949953,0.41294269579556075,-0.1253490714198551,0.13734834047509195,67.7,NE
Rv3716c,-,hypothetical protein Rv3716c ,4,4,True,-0.021058944189348186,0.9683654238734468,-0.09912250817046302,0.75599015201127,-0.19255627797730626,-0.04719946064965423,47.55,NE
Rv3717,-,hypothetical protein Rv3717 ,13,12,True,0.04970356367565551,0.860847365272692,0.14708518841537244,0.3697165185768455,-0.31086095978196104,-0.04009013654432371,73.66923076923078,NE
Rv3718c,-,hypothetical protein Rv3718c ,5,5,True,0.048030788520388994,0.9181831988600059,0.1153263186165633,0.6846747888121166,-0.22240758416652612,-0.03344850595966186,59.85999999999999,NE
Rv3719,-,hypothetical protein Rv3719 ,39,36,True,0.022102975966470893,0.8926658064383255,-0.1292658692057448,0.1595132085471407,-0.4589624867547173,-0.17664171309386642,97.13846153846154,NE
Rv3720,-,POSSIBLE FATTY ACID SYNTHASE ,32,32,True,0.32469355848017695,0.0300604776416463,0.14843777344561557,0.141443208648096,-0.24920066052274376,0.03850648551834772,121.18125,NE
Rv3721c,dnaZX,DNA polymerase III subunits gamma and tau ,27,4,False,,,,,,,1.0111111111111113,ES
Rv3722c,-,hypothetical protein Rv3722c ,31,6,True,-1.6378906490086012,1.588208722679813e-36,-1.6159808754287803,8.195793138551905e-73,-1.3042696682090464,-0.8187617753148806,5.0290322580645155,GD
Rv3723,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,11,11,True,0.4821842428661232,0.06319913601134021,0.44666880408867976,0.007308441917214511,-0.23430623950255114,-0.09032008422030517,168.65454545454548,GA
Rv3724A,cut5a,PROBABLE CUTINASE PRECURSOR ,1,1,True,-0.07495973228494829,0.9418172100478274,0.0844668074630476,0.8990881953826814,-1.200587695858859e-14,-4.527517455467919e-14,26.9,NE
Rv3724B,cut5b,PROBABLE CUTINASE ,19,17,True,0.22882446345553756,0.2673975891848648,0.3597433343265666,0.004417365758231813,-0.3105147883223371,-0.16914437558709708,111.71052631578945,GA
Rv3725,-,POSSIBLE OXIDOREDUCTASE ,14,14,True,0.7528907695490524,0.0004429981145624443,0.637480069958591,7.885322202908436e-06,-0.25060985519049356,-0.04205979587642013,327.3642857142857,GA
Rv3726,-,POSSIBLE DEHYDROGENASE ,16,15,True,0.28198507825163316,0.2064973204706392,0.5156172960351991,0.00013681880869969627,-0.17191123273655595,-0.041438280094334104,91.85624999999999,GA
Rv3727,-,POSSIBLE OXIDOREDUCTASE ,39,38,True,0.5812187821186872,2.7693943603672116e-06,0.5069961348793908,1.2568405298896593e-09,-0.21516052387039028,-0.06620969509367299,202.92564102564103,GA
Rv3728,-,PROBABLE CONSERVED TWO-DOMAIN MEMBRANE PROTEIN ,32,32,True,0.4732715669124163,0.000915855336395805,0.48257386061357016,2.1921290196362749e-07,-0.26911968623021093,-0.05507573458620798,179.00000000000003,GA
Rv3729,-,POSSIBLE TRANSFERASE ,29,28,True,0.4069202319130603,0.008359154554987782,0.41052232187994997,3.945308269956753e-05,-0.3080052879348692,-0.047318910881981556,167.88620689655173,GA
Rv3730c,-,hypothetical protein Rv3730c ,21,21,True,0.3158615197840775,0.09849239164093959,0.2888557189776001,0.01743609664656596,-0.3680390277881538,-0.15164868996144817,156.09047619047618,GA
Rv3731,ligC,ATP-dependent DNA ligase ,19,19,True,0.5488519708857397,0.0035847387360617255,0.5714283724910468,2.8229226685691085e-06,-0.24841871983044156,-0.015257667481886597,203.27894736842103,GA
Rv3732,-,hypothetical protein Rv3732 ,17,16,True,0.22876266422346764,0.29492888871695294,0.22136988505368052,0.10882474982025842,-0.4674962542367861,-0.1613240705641927,160.32941176470587,NE
Rv3733c,-,hypothetical protein Rv3733c ,4,4,True,0.45495980145026643,0.31336010245601087,0.6010518177518849,0.03208096890659901,-0.44253361052851736,-0.10492419345072819,255.77499999999998,GA
Rv3734c,-,hypothetical protein Rv3734c ,19,19,True,0.6952643277890885,0.0001354352599083797,0.4293897176947017,0.0005895518151481942,-0.1588212159294301,0.021872373242696495,231.97894736842102,GA
Rv3735,-,hypothetical protein Rv3735 ,6,6,True,0.5502880916395456,0.12521706063450833,0.3405573222456695,0.14397979133569966,-0.1778077935477942,-0.012443635934342997,173.35,NE
Rv3736,-,TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARAC/XYLS-FAMILY) ,23,23,True,0.5247086520677621,0.0020252158204721927,0.4408228827837301,9.104639599104662e-05,-0.21584566739421135,-0.06563575907891131,178.34782608695653,GA
Rv3737,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,17,17,True,-0.06882919207936573,0.7731469326624778,0.22192025806165208,0.10756003049475951,-0.5518017027551358,-0.2647460466437639,97.22941176470589,NE
Rv3738c,PPE66,PPE FAMILY PROTEIN ,19,19,True,0.4583301059659416,0.017259243480454545,0.4095651295545385,0.001067416223324999,-0.4169027114361443,-0.1671273534252575,243.00526315789472,GA
Rv3739c,PPE67,PPE FAMILY PROTEIN ,7,6,True,-0.303130897887513,0.3796440927256575,-0.8684691807794563,1.859793251561709e-05,-1.1639235788416273,-1.037844915791811,229.0285714285714,GD
Rv3740c,-,hypothetical protein Rv3740c ,20,20,True,0.6834272196956364,0.00011618319983764492,0.5340239735524923,8.005673374908412e-06,-0.13939908898308517,0.029151698593537223,215.85,GA
Rv3741c,-,POSSIBLE OXIDOREDUCTASE ,9,9,True,0.45845973306278076,0.11723097571732824,0.67280404593341,0.00019491269926748739,-0.13320908561187889,0.10589296738689445,126.48888888888888,GA
Rv3742c,-,POSSIBLE OXIDOREDUCTASE ,6,6,True,0.5207796610520277,0.14856037892670257,0.42160752115780725,0.06747044223311836,-0.5299643290758511,-0.10099048520999877,364.28333333333336,NE
Rv3743c,ctpJ,PROBABLE CATION TRANSPORTER P-TYPE ATPASE CTPJ ,31,31,True,0.36095118133087145,0.016589809840212463,0.48877037014777586,2.4306219137901766e-07,-0.2402117200497463,-0.07455000778664658,129.10967741935485,GA
Rv3744,-,TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARSR-FAMILY) ,8,8,True,0.4723927306159635,0.1291921004164456,0.4825984678805579,0.014048099699161936,-0.23519296108434237,-0.07614575490604686,165.2125,GA
Rv3745c,-,hypothetical protein Rv3745c ,2,2,True,-0.1764120210314726,0.8033165516077301,0.05987952538645879,0.8989623592895959,-0.8997844804801451,-0.7268854807528631,168.25,NE
Rv3746c,PE34,PROBABLE PE FAMILY PROTEIN (PE FAMILY-RELATED PROTEIN) ,6,6,True,0.24165184215238275,0.5279164668866253,0.4184247635336531,0.06951888052782694,-0.428022995543475,-0.17582929567062475,150.85,NE
Rv3747,-,hypothetical protein Rv3747 ,7,7,True,0.17422890740718,0.625967287124435,0.3427392525937124,0.11166221353521498,-0.5702978799001637,-0.20979437978207496,178.95714285714288,NE
Rv3748,-,hypothetical protein Rv3748 ,6,6,True,0.4613320987040522,0.20562540101472185,0.4734343708196522,0.03873873978668901,-0.172583658416401,-0.021714967825351223,139.41666666666666,GA
Rv3749c,-,hypothetical protein Rv3749c ,13,13,True,0.8007976580903589,0.00030066056651019483,0.7473192042526804,3.315132789273828e-07,-0.11749925495114806,0.014131229352264733,269.1230769230769,GA
Rv3750c,-,POSSIBLE EXCISIONASE ,6,6,True,0.914227495782476,0.006819997390035015,0.6588704117802543,0.003311297171012394,-0.020464396941651728,0.05818743297891913,279.6333333333333,GA
Rv3751,-,PROBABLE INTEGRASE (FRAGMENT) ,1,1,True,1.114040558578057,0.2124725700786173,0.394161613893953,0.5152354721521573,-1.1909444211933259e-14,-8.389648959013679e-15,422.9,NE
Rv3752c,-,POSSIBLE CYTIDINE/DEOXYCYTIDYLATE DEAMINASE ,2,1,True,-1.7741496677454907,0.0020886285229327166,-2.3124531800395416,2.881635970871344e-10,-0.02024629438759244,0.671465438309573,0.05,GD
